gbifID,reference,publisher,rightsHolder
3398795839,https://www.inaturalist.org/photos/165110745,"iNaturalist","nature1111"
3398795839,https://www.inaturalist.org/photos/165110752,"iNaturalist","nature1111"
3398747580,https://www.inaturalist.org/photos/123565159,"iNaturalist","Cricket Raspet"
3398700447,https://www.inaturalist.org/photos/59189380,"iNaturalist","Cricket Raspet"
3391692243,https://www.inaturalist.org/photos/163326404,"iNaturalist","summerf59"
3391505730,https://www.inaturalist.org/photos/162371682,"iNaturalist","Eric Koberle"
3391426506,https://www.inaturalist.org/photos/155425945,"iNaturalist","bgreer211"
3391426506,https://www.inaturalist.org/photos/155425972,"iNaturalist","bgreer211"
3391426506,https://www.inaturalist.org/photos/155425886,"iNaturalist","bgreer211"
3391426506,https://www.inaturalist.org/photos/155425918,"iNaturalist","bgreer211"
3391403150,https://www.inaturalist.org/photos/163263865,"iNaturalist","mickeydylan"
3391390042,https://www.inaturalist.org/photos/162973795,"iNaturalist","Jasper Barnes"
3391390042,https://www.inaturalist.org/photos/162973802,"iNaturalist","Jasper Barnes"
3391379912,https://www.inaturalist.org/photos/162738460,"iNaturalist","wyattherp"
3391354767,https://www.inaturalist.org/photos/162427775,"iNaturalist","nature1111"
3391318708,https://www.inaturalist.org/photos/162352637,"iNaturalist","Jasper Barnes"
3391318708,https://www.inaturalist.org/photos/162352564,"iNaturalist","Jasper Barnes"
3385192453,https://www.inaturalist.org/photos/161812683,"iNaturalist","nature1111"
3384999530,https://www.inaturalist.org/photos/160127591,"iNaturalist","mbabbe"
3384973794,https://www.inaturalist.org/photos/160520224,"iNaturalist","mfarrellbio211"
3384739777,https://www.inaturalist.org/photos/157365807,"iNaturalist","Elizabeth Bettenhausen"
3384739777,https://www.inaturalist.org/photos/157365579,"iNaturalist","Elizabeth Bettenhausen"
3384739777,https://www.inaturalist.org/photos/157365587,"iNaturalist","Elizabeth Bettenhausen"
3384739777,https://www.inaturalist.org/photos/157365809,"iNaturalist","Elizabeth Bettenhausen"
3384739777,https://www.inaturalist.org/photos/157018092,"iNaturalist","Elizabeth Bettenhausen"
3384739777,https://www.inaturalist.org/photos/157019185,"iNaturalist","Elizabeth Bettenhausen"
3384739777,https://www.inaturalist.org/photos/157019196,"iNaturalist","Elizabeth Bettenhausen"
3384739777,https://www.inaturalist.org/photos/157019104,"iNaturalist","Elizabeth Bettenhausen"
